last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
"25.200,00",25300.0,25150.0,25218.05,"0,18",577.0,14.550.816,14.550.816
"25.205,00",25205.0,25200.0,25202.82,"-0,06",333.0,8.392.540,8.392.540
"25.244,00",25250.0,25200.0,25219.04,"0,06",193.0,4.867.275,4.867.275
"25.290,00",25290.0,25215.0,25247.73,"0,11",306.0,7.725.805,7.725.805
"25.300,00",25370.0,25300.0,25327.56,"0,32",465.0,11.777.315,11.777.315
"25.400,00",25499.0,25300.0,25379.05,"0,20",286.0,7.258.407,7.258.407
"25.550,00",25550.0,25379.0,25415.78,"0,14",258.0,6.557.272,6.557.272
"25.900,00",25900.0,25402.0,25529.34,"0,45",242.0,6.178.100,6.178.100
"27.499,00",27499.0,26200.0,26704.83,"4,60",358.0,9.560.330,9.560.330
"27.994,00",28200.0,27500.0,27991.95,"4,82",205.0,5.738.350,5.738.350
"27.850,00",27992.0,27800.0,27859.13,"-0,47",103.0,2.869.490,2.869.490
"27.979,00",27980.0,27800.0,27863.62,"0,02",629.0,17.526.215,17.526.215
"28.001,00",28100.0,27950.0,28030.17,"0,60",822.0,23.040.796,23.040.796
"28.150,00",28200.0,28100.0,28110.06,"0,29",300.0,8.433.017,8.433.017
"28.250,00",28250.0,28198.0,28213.17,"0,37",580.0,16.363.637,16.363.637
"28.250,00",28250.0,28230.0,28244.91,"0,11",369.0,10.422.370,10.422.370
"28.251,00",28251.0,28200.0,28241.78,"-0,01",484.0,13.669.020,13.669.020
"28.250,00",29000.0,28250.0,28342.11,"0,36",503.0,14.256.081,14.256.081
"28.350,00",28520.0,28349.0,28366.49,"0,09",683.0,19.374.315,19.374.315
