Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
27.11.2024,0,0,0,0,0,0,0.0,0.0
28.11.2024,0,0,0,0,0,0,0.0,0.0
29.11.2024,0,0,0,0,0,0,0.0,0.0
02.12.2024,0,0,0,0,0,0,0.0,0.0
03.12.2024,0,0,0,0,0,0,0.0,0.0
04.12.2024,0,0,0,0,0,0,0.0,0.0
05.12.2024,0,0,0,0,0,0,0.0,0.0
06.12.2024,0,0,0,0,0,0,0.0,0.0
10.12.2024,"635,00","635,00","635,00","635,00",0,250,158.75,158.75
11.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
12.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
13.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
16.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
17.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
18.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
19.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
20.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
23.12.2024,"635,00",0,0,"635,00","0,00",0,0.0,0.0
