Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
03.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
08.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
09.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
10.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
13.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
14.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
15.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
16.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
17.01.2014,"47.000,00","47.000,00","47.000,00","47.000,00","0,00",3.0,141.000,141.000
20.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
21.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
22.01.2014,"47.000,00","47.000,00","47.000,00","47.000,00","0,00",13.0,611.000,611.000
23.01.2014,"47.000,00",0,0,"47.000,00","0,00",0.0,0,0
24.01.2014,"47.500,00","47.500,00","47.500,00","47.500,00","1,06",2.0,95.000,95.000
27.01.2014,"47.500,00",0,0,"47.500,00","0,00",0.0,0,0
28.01.2014,"47.500,00",0,0,"47.500,00","0,00",0.0,0,0
29.01.2014,"47.500,00","47.500,00","47.500,00","47.500,00","0,00",3.0,142.500,142.500
30.01.2014,"47.500,00","47.500,00","47.500,00","47.500,00","0,00",10.0,475.000,475.000
31.01.2014,"47.500,00","47.500,00","47.500,00","47.500,00","0,00",5.0,237.500,237.500
03.02.2014,"47.500,00",0,0,"47.500,00","0,00",0.0,0,0
04.02.2014,"47.500,00",0,0,"47.500,00","0,00",0.0,0,0
05.02.2014,"47.500,00",0,0,"47.500,00","0,00",0.0,0,0
06.02.2014,"48.000,00","48.000,00","48.000,00","48.000,00","1,05",3.0,144.000,144.000
07.02.2014,"48.000,00",0,0,"48.000,00","0,00",0.0,0,0
10.02.2014,"48.000,00",0,0,"48.000,00","0,00",0.0,0,0
11.02.2014,"48.000,00",0,0,"48.000,00","0,00",0.0,0,0
12.02.2014,"48.500,00","48.500,00","48.500,00","48.500,00","1,04",3.0,145.500,145.500
13.02.2014,"48.500,00",0,0,"48.500,00","0,00",0.0,0,0
14.02.2014,"48.500,00",0,0,"48.500,00","0,00",0.0,0,0
17.02.2014,"48.500,00",0,0,"48.500,00","0,00",0.0,0,0
18.02.2014,"48.500,00",0,0,"48.500,00","0,00",0.0,0,0
19.02.2014,"48.200,00","48.200,00","48.001,00","48.133,67","-0,76",6.0,288.802,288.802
20.02.2014,"48.200,00","48.200,00","48.200,00","48.200,00","0,14",3.0,144.600,144.600
21.02.2014,"48.300,00","48.300,00","48.200,00","48.260,00","0,12",5.0,241.300,241.300
24.02.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
25.02.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
26.02.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
27.02.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
28.02.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
03.03.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
04.03.2014,"48.300,00",0,0,"48.260,00","0,00",0.0,0,0
05.03.2014,"48.800,00","48.800,00","48.800,00","48.800,00","1,12",3.0,146.400,146.400
06.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
07.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
10.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
11.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
12.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
13.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
14.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
17.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
18.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
19.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
20.03.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
21.03.2014,"48.100,00","48.100,00","48.100,00","48.100,00","-1,43",10.0,481.000,481.000
24.03.2014,"48.100,00","48.100,00","48.100,00","48.100,00","0,00",2.0,96.200,96.200
25.03.2014,"48.000,00","48.000,00","48.000,00","48.000,00","-0,21",22.0,1.056.000,1.056.000
26.03.2014,"48.000,00",0,0,"48.000,00","0,00",0.0,0,0
27.03.2014,"48.000,00","48.000,00","47.999,00","47.999,83","0,00",6.0,287.999,287.999
28.03.2014,"48.000,00",0,0,"47.999,83","0,00",0.0,0,0
31.03.2014,"48.000,00",0,0,"47.999,83","0,00",0.0,0,0
01.04.2014,"48.300,00","48.300,00","48.300,00","48.300,00","0,63",3.0,144.900,144.900
02.04.2014,"48.300,00",0,0,"48.300,00","0,00",0.0,0,0
03.04.2014,"48.300,00",0,0,"48.300,00","0,00",0.0,0,0
04.04.2014,"48.300,00",0,0,"48.300,00","0,00",0.0,0,0
07.04.2014,"48.300,00",0,0,"48.300,00","0,00",0.0,0,0
08.04.2014,"48.800,00","48.800,00","48.800,00","48.800,00","1,04",2.0,97.600,97.600
09.04.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
10.04.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
11.04.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
14.04.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
15.04.2014,"48.800,00",0,0,"48.800,00","0,00",0.0,0,0
16.04.2014,"48.501,00","48.501,00","48.501,00","48.501,00","-0,61",2.0,97.002,97.002
17.04.2014,"48.501,00",0,0,"48.501,00","0,00",0.0,0,0
22.04.2014,"48.501,00",0,0,"48.501,00","0,00",0.0,0,0
23.04.2014,"48.501,00",0,0,"48.501,00","0,00",0.0,0,0
24.04.2014,"48.501,00",0,0,"48.501,00","0,00",0.0,0,0
25.04.2014,"48.501,00",0,0,"48.501,00","0,00",0.0,0,0
28.04.2014,"48.501,00",0,0,"48.501,00","0,00",0.0,0,0
29.04.2014,"48.502,00","48.502,00","48.502,00","48.502,00","0,00",2.0,97.004,97.004
30.04.2014,"48.800,00","48.800,00","48.800,00","48.800,00","0,61",5.0,244.000,244.000
02.05.2014,"49.000,00","49.000,00","49.000,00","49.000,00","0,41",2.0,98.000,98.000
05.05.2014,"49.000,00","49.000,00","49.000,00","49.000,00","0,00",17.0,833.000,833.000
06.05.2014,"49.002,00","49.002,00","49.002,00","49.002,00","0,00",5.0,245.010,245.010
07.05.2014,"49.500,00","49.500,00","49.500,00","49.500,00","1,02",5.0,247.500,247.500
08.05.2014,"49.100,00","49.200,00","49.001,00","49.065,60","-0,88",20.0,981.312,981.312
09.05.2014,"49.500,00","49.500,00","49.500,00","49.500,00","0,89",3.0,148.500,148.500
12.05.2014,"49.101,00","49.101,00","49.101,00","49.101,00","-0,81",1.0,49.101,49.101
13.05.2014,"49.101,00",0,0,"49.101,00","0,00",0.0,0,0
14.05.2014,"44.200,00","44.200,00","44.200,00","44.200,00","-9,98",4.0,176.800,176.800
15.05.2014,"44.200,00",0,0,"44.200,00","0,00",0.0,0,0
16.05.2014,"44.200,00",0,0,"44.200,00","0,00",0.0,0,0
19.05.2014,"44.200,00",0,0,"44.200,00","0,00",0.0,0,0
20.05.2014,"44.200,00",0,0,"44.200,00","0,00",0.0,0,0
21.05.2014,"45.500,00","45.500,00","45.500,00","45.500,00","2,94",10.0,455.000,455.000
22.05.2014,"45.500,00","45.500,00","45.500,00","45.500,00","0,00",4.0,182.000,182.000
23.05.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
26.05.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
27.05.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
28.05.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
29.05.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
30.05.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
02.06.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
03.06.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
04.06.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
05.06.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
09.06.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
10.06.2014,"45.500,00",0,0,"45.500,00","0,00",0.0,0,0
11.06.2014,"44.500,00","44.500,00","44.500,00","44.500,00","-2,20",23.0,1.023.500,1.023.500
12.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
13.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
16.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
17.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
18.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
19.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
20.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
23.06.2014,"44.500,00","44.500,00","44.500,00","44.500,00","0,00",3.0,133.500,133.500
24.06.2014,"44.500,00",0,0,"44.500,00","0,00",0.0,0,0
25.06.2014,"45.000,00","45.000,00","45.000,00","45.000,00","1,12",6.0,270.000,270.000
26.06.2014,"45.000,00",0,0,"45.000,00","0,00",0.0,0,0
27.06.2014,"45.000,00","45.000,00","45.000,00","45.000,00","0,00",13.0,585.000,585.000
30.06.2014,"45.000,00",0,0,"45.000,00","0,00",0.0,0,0
01.07.2014,"45.000,00",0,0,"45.000,00","0,00",0.0,0,0
02.07.2014,"45.500,00","45.500,00","45.500,00","45.500,00","1,11",10.0,455.000,455.000
03.07.2014,"45.502,00","45.502,00","45.502,00","45.502,00","0,00",1.0,45.502,45.502
04.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
07.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
08.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
09.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
10.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
11.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
14.07.2014,"45.502,00",0,0,"45.502,00","0,00",0.0,0,0
15.07.2014,"45.550,00","45.550,00","45.550,00","45.550,00","0,11",10.0,455.500,455.500
