Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"45,00","45,00","45,00","45,00","2,27",340.0,15.3,15.3
03.01.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
08.01.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
09.01.2014,"41,00","41,00","41,00","41,00","-8,89",770.0,31.57,31.57
10.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
13.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
14.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
15.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
16.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
17.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
20.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
21.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
22.01.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
23.01.2014,"40,00","40,00","40,00","40,00","-2,44",760.0,30.4,30.4
24.01.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
27.01.2014,"45,00","45,00","45,00","45,00","12,50",900.0,40.5,40.5
28.01.2014,"45,00","45,00","45,00","45,00","0,00",1.25,56.25,56.25
29.01.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
30.01.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
31.01.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
03.02.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
04.02.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
05.02.2014,"45,00",0,0,"45,00","0,00",0.0,0.0,0.0
06.02.2014,"46,00","46,00","46,00","46,00","2,22",200.0,9.2,9.2
07.02.2014,"46,00","46,00","46,00","46,00","0,00",100.0,4.6,4.6
10.02.2014,"46,00",0,0,"46,00","0,00",0.0,0.0,0.0
11.02.2014,"46,00",0,0,"46,00","0,00",0.0,0.0,0.0
12.02.2014,"50,00","50,00","50,00","50,00","8,70",650.0,32.5,32.5
13.02.2014,"50,00","50,00","50,00","50,00","0,00",1.35,67.5,67.5
14.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
17.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
18.02.2014,"50,00","50,00","50,00","50,00","0,00",274.0,13.7,13.7
19.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
20.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
21.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
24.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
25.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
26.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
27.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
28.02.2014,"50,00",0,0,"50,00","0,00",0.0,0.0,0.0
03.03.2014,"41,00","41,00","41,00","41,00","-18,00",600.0,24.6,24.6
04.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
05.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
06.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
07.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
10.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
11.03.2014,"40,00","40,00","40,00","40,00","-2,44",200.0,8.0,8.0
12.03.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
13.03.2014,"41,00","41,00","41,00","41,00","2,50",150.0,6.15,6.15
14.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
17.03.2014,"41,00",0,0,"41,00","0,00",0.0,0.0,0.0
18.03.2014,"40,00","40,00","40,00","40,00","-2,44",370.0,14.8,14.8
19.03.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
20.03.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
21.03.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
24.03.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
25.03.2014,"40,00",0,0,"40,00","0,00",0.0,0.0,0.0
