Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
03.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
08.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
09.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
10.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
13.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
14.01.2014,"2.500,00",0,0,"2.500,00","0,00",0.0,0,0
15.01.2014,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",55.0,141.625,141.625
16.01.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",130.0,334.750,334.750
17.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
20.01.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",66.0,169.950,169.950
21.01.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",80.0,206.000,206.000
22.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
23.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
24.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
27.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
28.01.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",27.0,69.525,69.525
29.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
30.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
31.01.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
03.02.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",35.0,90.125,90.125
04.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
05.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
06.02.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",175.0,450.625,450.625
07.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
10.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
11.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
12.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
13.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
14.02.2014,"2.575,00",0,0,"2.575,00","0,00",0.0,0,0
17.02.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",45.0,115.875,115.875
18.02.2014,"2.575,00","2.575,00","2.575,00","2.575,00","0,00",264.0,679.800,679.800
