Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
03.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
08.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
09.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
10.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
13.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
14.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
15.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
16.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
17.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
20.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
21.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
22.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
23.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
24.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
27.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
28.01.2014,"300,00","300,00","300,00","300,00","0,00",529.0,158.700,158.700
29.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
30.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
31.01.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
03.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
04.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
05.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
06.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
07.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
10.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
11.02.2014,"300,00",0,0,"300,00","0,00",0.0,0,0
12.02.2014,"301,00","301,00","301,00","301,00","0,33",237.0,71.337,71.337
13.02.2014,"301,00",0,0,"301,00","0,00",0.0,0,0
14.02.2014,"301,00",0,0,"301,00","0,00",0.0,0,0
17.02.2014,"301,00",0,0,"301,00","0,00",0.0,0,0
18.02.2014,"312,00","312,00","312,00","312,00","3,65",318.0,99.216,99.216
19.02.2014,"312,00",0,0,"312,00","0,00",0.0,0,0
20.02.2014,"312,00",0,0,"312,00","0,00",0.0,0,0
21.02.2014,"351,00","351,00","351,00","351,00","12,50",50.0,17.550,17.550
24.02.2014,"350,00","350,00","350,00","350,00","-0,28",215.0,75.250,75.250
25.02.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
26.02.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
27.02.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
28.02.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
03.03.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
04.03.2014,"350,00","350,00","350,00","350,00","0,00",20.0,7.000,7.000
05.03.2014,"350,00","350,00","350,00","350,00","0,00",65.0,22.750,22.750
06.03.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
07.03.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
10.03.2014,"350,00","350,00","350,00","350,00","0,00",20.0,7.000,7.000
11.03.2014,"350,00",0,0,"350,00","0,00",0.0,0,0
12.03.2014,"350,00","350,00","350,00","350,00","0,00",51.0,17.850,17.850
13.03.2014,"338,00","338,00","338,00","338,00","-3,43",100.0,33.800,33.800
14.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
17.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
18.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
19.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
20.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
21.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
24.03.2014,"338,00",0,0,"338,00","0,00",0.0,0,0
25.03.2014,"328,00","328,00","328,00","328,00","-2,96",5.0,1.640,1.640
26.03.2014,"312,00","312,00","312,00","312,00","-4,88",65.0,20.280,20.280
27.03.2014,"312,00",0,0,"312,00","0,00",0.0,0,0
28.03.2014,"312,00",0,0,"312,00","0,00",0.0,0,0
31.03.2014,"312,00",0,0,"312,00","0,00",0.0,0,0
