Date,last_traded_price,max,min,avg_price,promet,volume,promet_BEST,promet_vo_denari
02.01.2014,"1.400,00",0,0,"1.406,67","0,00",0.0,0,0
03.01.2014,"1.400,00",0,0,"1.406,67","0,00",0.0,0,0
08.01.2014,"1.400,00","1.400,00","1.400,00","1.400,00","-0,47",81.0,113.400,113.400
09.01.2014,"1.364,00","1.400,00","1.364,00","1.375,15","-1,78",323.0,444.172,444.172
10.01.2014,"1.400,00","1.400,00","1.400,00","1.400,00","1,81",21.0,29.400,29.400
13.01.2014,"1.301,00","1.301,00","1.301,00","1.301,00","-7,07",17.0,22.117,22.117
14.01.2014,"1.301,00",0,0,"1.301,00","0,00",0.0,0,0
15.01.2014,"1.301,00",0,0,"1.301,00","0,00",0.0,0,0
16.01.2014,"1.300,00","1.300,00","1.300,00","1.300,00","-0,08",5.0,6.500,6.500
17.01.2014,"1.400,00","1.400,00","1.400,00","1.400,00","7,69",88.0,123.200,123.200
20.01.2014,"1.400,00",0,0,"1.400,00","0,00",0.0,0,0
21.01.2014,"1.300,00","1.300,00","1.300,00","1.300,00","-7,14",5.0,6.500,6.500
22.01.2014,"1.300,00",0,0,"1.300,00","0,00",0.0,0,0
23.01.2014,"1.301,00","1.301,00","1.301,00","1.301,00","0,08",10.0,13.010,13.010
24.01.2014,"1.301,00",0,0,"1.301,00","0,00",0.0,0,0
27.01.2014,"1.339,00","1.339,00","1.339,00","1.339,00","2,92",25.0,33.475,33.475
28.01.2014,"1.351,00","1.351,00","1.351,00","1.351,00","0,90",60.0,81.060,81.060
29.01.2014,"1.351,00",0,0,"1.351,00","0,00",0.0,0,0
30.01.2014,"1.351,00",0,0,"1.351,00","0,00",0.0,0,0
31.01.2014,"1.351,00",0,0,"1.351,00","0,00",0.0,0,0
03.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","-0,07",35.0,47.250,47.250
04.02.2014,"1.350,00",0,0,"1.350,00","0,00",0.0,0,0
05.02.2014,"1.350,00",0,0,"1.350,00","0,00",0.0,0,0
06.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",100.0,135.000,135.000
07.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",15.0,20.250,20.250
10.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",180.0,243.000,243.000
11.02.2014,"1.370,00","1.370,00","1.350,00","1.361,30","0,84",46.0,62.620,62.620
12.02.2014,"1.370,00",0,0,"1.361,30","0,00",0.0,0,0
13.02.2014,"1.351,00","1.351,00","1.351,00","1.351,00","-0,76",25.0,33.775,33.775
14.02.2014,"1.351,00",0,0,"1.351,00","0,00",0.0,0,0
17.02.2014,"1.351,00",0,0,"1.351,00","0,00",0.0,0,0
18.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","-0,07",50.0,67.500,67.500
19.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",23.0,31.050,31.050
20.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",465.0,627.750,627.750
21.02.2014,"1.315,00","1.315,00","1.315,00","1.315,00","-2,59",50.0,65.750,65.750
24.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","2,66",5.0,6.750,6.750
25.02.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",14.0,18.900,18.900
26.02.2014,"1.400,00","1.400,00","1.400,00","1.400,00","3,70",490.0,686.000,686.000
27.02.2014,"1.400,00",0,0,"1.400,00","0,00",0.0,0,0
28.02.2014,"1.450,00","1.450,00","1.450,00","1.450,00","3,57",50.0,72.500,72.500
03.03.2014,"1.501,00","1.501,00","1.501,00","1.501,00","3,52",38.0,57.038,57.038
04.03.2014,"1.500,00","1.501,00","1.500,00","1.500,24","-0,05",50.0,75.012,75.012
05.03.2014,"1.500,00","1.520,00","1.500,00","1.503,71","0,23",342.0,514.270,514.270
06.03.2014,"1.500,00","1.500,00","1.500,00","1.500,00","-0,25",28.0,42.000,42.000
07.03.2014,"1.500,00",0,0,"1.500,00","0,00",0.0,0,0
